char,pron
睡唔落覺,soi4 m1 lok5 gau4
扯鼻鼾,ca3 pi4 hon2
挺挺仰睡,ten3 ten3 ngong1 soi4
打側睡,da3 zet5 soi4
罯罯伏,am3 am3 puk5
失枕,sip5 zim3
學堂,hok6 tong2
破學,po4 hok6
去學堂,hi4 hok6 tong2
返學,fan1 hok6
放學,fong4 hok6
簿仔,pu1 zai3
教書先生,gau1 su1 sin1 sang1
學生,hok5 sang1
頭名,teu2 miang2
第尾,ti4 mui1
毛筆,mau1 bit5
水筆,sui3 bit5
鉛筆,yen2 bit5
筆筒套,bit5 tung2 tau4
撳釘,kim4 dang1
信筒,sin4 tung2
信肉,sim4 ngiuk5
漿糊,ziong1 fu2
刀仔,dau1 zai3
擦紙膠,cat5 zi3 gau1
橡筋,siong4 gin1
墨湖,met6 fu2
墨汁,met6 zip5
墨水,met5 sui3
逃學,tau2 hok6
考試,kau3 si4
徛堂,ki1 tong2
印仔,yin4 zai3
襟章,kim1 zong1
郵局,yiu2 kiuk6
郵票,yiu2 piau4
相片,siong4 pien4
影畫戲,yang3 fa4 hi4
電影,tien4 yang3
踢足球,tiak5 zuk5 kiu2
打韆鞦,da3 cin1 ciu1
放紙鷂,fong4 zi3 yau4
講古仔,gong3 gu3 zai3
唱歌,cong4 go1
銀雞,ngiun2 gai1
打符繡,da3 fu2 siu4
吹笛,cui1 tiak6
捉棋,zok5 ki2
游水,yiu2 sui3
沕水,mi4 sui3
打水片,da3 sui3 pien3
曉功夫,hiau3 gung1 fu1
撮把戲,cot5 ba3 hi4
打翻車,da3 fan2 ca1
勾腳,giu1 giok5
屏人子,biang4 ngin2 zu1
跳飛機,tiau4 fui1 gi1
舞龍,mu3 lung2
拉二弦,lai1 ngi4 hien2
打爆仗,da3 bau4 cong4
騎馬度,ki2 ma1 dok6
起種竹,hi3 zung4 zuk5
鬼面殼,gui3 mien4 hok5
猜枚,zai1 moi2
拈鬮,ngiam1 kiu1
磧年利市,zak5 ngien2 li4 si4
擺酒,bai3 ziu3
搭人世,dap5 ngin2 se4
接禮,ziap5 li1
多謝,do1 cia4
生客,sang1 hak5
請坐,ciang3 co1
客氣,hak5 hi4
退茶,tui4 ca2
坐席,co1 cit6
上菜,song1 coi4
倒酒,dau3 ziu3
慢慢行,man4 man4 hang2
亂嗑,lon4 kap5
招呼,zau1 fu1
唱惹,cong4 ya1
威風,vui1 fung1
擺面子,bai3 mien4 zu3
充好漢,cung1 hau3 hon4
見笑,gien4 siau4
連累,lien2 lui4
難為你,lan2 vui2 ngi2
遇到,ngi4 dau3
講話,gong3 va4
講本地,gong3 bun3 ti4
捧大腳,bung3 tai4 giok5
吩咐,fun1 fu4
死咯,si3 lo3
罵人,ma4 ngin2
分人打,bin1 ngin2 da3
吵交,cau2 gau1
打交,da3 gau1
幫等,bong1 den3
做得,zo4 det5
唔錯,m1 co4
唔准,m1 zun3
轉鄉下,zon3 hiong1 ha4
邏人客,la2 ngin2 hak5
冇閒,mau2 han2
唔得閒,m1 det5 han2
得閒,det5 han2
辦好,pan4 hau3
搞掂,gau3 tiam4
行運,hang2 yun4
鋪頭,pu4 teu2
茶居,ca2 gi1
飯店,fan4 diam4
客棧,hak5 can4
擺檔,bai3 dong4
小販,siau3 fan4
開張,hoi1 zong1
盤點,pan2 diam3
打快扒,da3 kai4 pa2
櫃台,kui4 toi2
侍頭,si4 teu2
侍頭婆,si4 teu2 po2
伙記,fo2 gi4
師傅,su4 fu4
徒弟,tu2 ti4
講價,gong3 ga4
還價,van2 ga4
跌價,det5 ga4
欠賬,kiam4 zong4
追帳,zui1 zong4
算盤,son4 pan2
厘秤,li2 cin4
皮費,pi2 fui4
本錢,bun3 cien2
佮份,gap5 fun4
銀紙,ngiun2 zi3
硬幣,ngan4 bi4
大紙,tai4 zi3
散紙,san3 zi3
蝕本,set5 bun3
夠秤,geu4 cin4
唔夠秤,m1 geu4 cin4
著數,cok6 su4
唔著數,m1 cok6 su4
車站,ca1 zam4
碼頭,ma1 teu2
行人路,hang2 ngin2 lu4
馬路,ma1 lu4
汽車,hi4 ca1
私家車,su1 ga1 ca1
客車,hak5 ca1
單車,dan1 ca1
人力車,ngin2 lit6 ca1
三輪車,san1 lin2 ca1
雞公車,gai1 gung1 ca1
火船,fo3 son2
帆船,fan2 son2
船仔,son2 zai3
電船,tien4 son2
竹簰,zuk5 pai2
漏水,leu4 sui3
飛機,fui1 gi1
搭客,dap5 hak5
水腳,sui3 giok5
車飛,ca1 fui1
搭車,dap5 ca1
暈車,vin2 ca1
座位,co4 vui4
司機,su1 gi1
開車,hoi1 ca1
擔起,dam1 hi3
扭轉,ngiu4 zon3
霎眯,sap5 mi1
瞪大眼,zen4 tai4 ngan3
斟嘴,zim1 zoi4
隔渣,gak5 za1
跌倒,det5 dau3
上來,song1 loi2
下去,ha1 hi4
浸死,zim4 si3
輪流,lun2 liu2
縱壞,zung3 fai4
覺得,gok5 det5
記掛,gi4 ga4
OK,fat5 fo3
冤枉,yen1 vong3
小心,siau3 sim1
想起,siong3 hi3
甘願,gam1 ngien4
中意,zung1 yi4
眼紅,ngan3 fung2
眼熱,ngang3 ngiet2
發火,fat5 fo3
添忘,tiam1 mong4
傷心,song1 sim1
唔捨得,m1 sa3 det5
陰涼,yim1 liong2
輕鬆,kiang1 sung1
射眼,sa4 ngan3
濁鼻,guk6 pi4
振耳,zin3 ngi3
過核,go4 fut6
轉潮,zon3 cau2
轉潤,zon3 yun4
結實,giet5 sit6
回南,fui2 lam2
伶俐,lang2 li4
漚漏,eu4 leu4
麻煩,ma2 fan2
難搞,lan2 gau3
容易,yung2 yi4
筆直,bit5 zit6
好粗,hau3 cu1
好幼,hau3 yiu4
滿卒卒,man1 zut5 zut5
薄翼翼,pok6 yit6 yit6
光華華,gong1 va2 va2
腥瘟瘟,siang1 vin1 vin1
嫩術術,lun4 sut6 sut6
生痛,sang3 tung4
矮耷耷,ai3 dep6 dep6
肥嘟嘟,pui2 dut5 dut5
仂卒卒,lep5 zut5 zut5
痩蜢蜢,seu4 mang1 mang1
瘦馬靈鉗,seu4 ma1 liang2 kiang2
老麥麥,lau3 mak6 mak6
老嚙嚙,lau1 ngat5 ngat5
好亂,hau3 lon4
好快,hau3 kai4
慢吞吞,man4 tun1 tun1
好燒,hau3 sau1
燒焓焓,sau1 hem2 hem2
好冷,hau3 lang1
冷挖挖,lang1 vat5 vat5
沸淥淥,bui4 luk6 luk6
烔紅,dung4 fung2
紅淮淮,fung2 fai1 fai1
好黃,hau3 vong2
黃貢貢,vong2 gung4 gung4
好青,hau3 ciang1
雪白,sut6 pak6
白雪雪,pak6 sut6 sut6
烏黷黷,vu1 du4 du4
烏矂矂,vu1 sau1 sau1
好酸,hau3 son1
酸丟丟,son1 diu2 diu2
鮮甜,sien1 tiam2
甜津津,tiam2 zin1 zin1
好苦,hau3 fu3
苦丟丟,fu3 diu1 diu1
噴香,pun4 hiong1
香噴噴,hiong1 pun4 pun4
臭垠,ciu4 hien1
臭垠臭蟹,ciu4 hien1 ciu4 hai3
好臭垠,hau3 ciu4 hien1
爛臭垠,lan4 ciu4 hien1
好滑,hau3 vat6
滑律律,vat6 lut6 lut6
好重,hau3 cung1
重墜墜,cung1 dem2 dem2
好輕,hau3 kiang1
輕匹匹,kiang1 pit6 pit6
好燥,hau3 zau1
燥麥麥,zau1 mak6 mak6
好濕,hau3 sip5
濕荅荅,sip5 dap5 dap5
好硬,hau3 ngang4
硬角角,ngang4 gok6 gok6
好軟,hau3 ngion1
軟入入,ngion1 ngip6 ngip6
好光滑,hau3 gong1 vat6
滑凸凸,vat6 tut6 tut6
十五,sip6 ng3
廿二,ngip6 ngi4
三十三,sam1 sip6 sam1
百一,bak5 yit5
一百一十一,yit5 bak5 yit5 sip6 yit5
兩百五,liong3 bak5 ng1
三四隻人,sam1 si4 zak5 ngin2
十零隻,sip6 lang2 zak5
兩斤,liong3 gin1
兩兩,liong3 liong1
兩斤兩兩,liong3 gin1 liong3 liong1
兩斤二兩,liong3 gin1 ngi4 liong1
兩尺,liong3 cak5
斤半,gin1 ban4
厓哋,ngai2 di1
吾兜,nga1 deu1
你兜,ngia1 deu1
佢兜,gia1 deu1
哪人,la4 ngin2
人家,ngin2 ga1
自家,ci2 ga1
吾嘅,nga1 ge4
爾嘅,ngia1 ge4
佢嘅,gia1 ge4
厓哋嘅,ngai2 di1 ge4
吾兜嘅,nga1 deu1 ge4
你兜嘅,ngia1 deu1 ge4
佢兜咯,gia1 deu1 ge4
哪人嘅,la4 ngin2 ge4
這隻,ngia3 zak5
該隻,ai4 zak5
哪隻,lai4 zak5
這兜,ngia3 deu1
該兜,ai4 deu1
哪兜,lai4 deu1
一滴仔,yit5 dit6 zai3
這裏,ngia3 li1
這定,ngia3 tang4
該裏,ai4 li1
該定,ai4 tang4
哪裏,lai4 li1
哪定,lai4 tang4
這邊,ngia3 bien1
該邊,ai4 bien1
哪邊,lai4 bien1
恁樣做,an2 yong4 zo4
恁樣做,an4 yong4 zo4
樣邊做,yong4 bien1 zo4
樣邊搞,yong4 bien1 gau3
這下,ngia3 ha4
該下,ai4 ha4
哪陣,lai4 cin4
幾時,git5 si2
幾久,git5 giu3
幾多斤,git5 do1 gin1
第二定,ti4 ngi4 tang4
第二兜,ti4 ngi4 deu1
哪定,lai4 dang4
乜介,mak5 gai4
做乜介,zo4 mak5 gai4
上下,song4 ha4
啱線,ngam1 sien4
一直,yit6 cit6
不留,but5 liu4
長日,cong2 ngit5
食等,sit6 den3
快滴,kai4 dit6
黏腳,ngiam2 giok5
一下子,yit5 ha4 zu3
忒過,tet5 go4
特別,tet6 piet6
有滴仔,yiu1 dit6 zai3
好彩,hau3 coi3
總都,zung3 du1
就係,ciu4 he4
一下,yit5 ha4
直登,cit6 dang1
唔係,m1 he4
唔使,m1 su3
唔好,m1 hau3
搏命,bok5 miang4
還過,han2 go4
大莫約,tai4 mok5 yok5
爭嘀仔,cang1 dit6 zai3
乾脆,gon1 cui4
直情,zit6 cin2
加先,ga1 sien1
還係,han2 he4
好像,hau3 ciong4
偏偏,bien1 bien1
稍為,sau3 vui2
臨時,lin2 si2
真係,zin1 he4
正講,zang2 gong3
或者,fet6 za3
只要,zik5 yau4
只有,zik5 yiu1
從細,cung2 se4
除嗨,cu2 hoi1
餓死咯,ngo4 si3 lo3
餓死嗨,ngo4 si3 hoi1
冷死咯,lang1 si3 lo3
冷死嗨,lang1 si3 hoi1
攰死咯,kioi4 si3 lo3
攰死嗨,kioi4 si3 hoi1
磧死咯,zak5 si3 lo3
磧死嗨,zak5 si3 hoi1
叼死咯,diu1 si3 lo3
叼死嗨,diu1 si3 hoi1
興死咯,hin3 si3 lo3
尋交轉,cim2 gau3 con3
講好嗨里,gong3 hau3 hoi1 di1
做秋嗨,zo4 ciu1 hoi1
唔見嗨,m1 gien4 hoi1
辣過頭咯,lat6 go4 teu1 lo3
爛嗨,lan4 hoi1
看唔倒,kon4 m1 dau3
番唔到去,fan1 m1 dau3 hi4
出唔到來,cut5 m1 dau3 loi2
裝唔落,zong1 m1 lok6
頭那唔痛,teu2 la1 m1 tung4
分佢估中嗨,bin1 gi2 gu3 zung4 hoi1
打得佢贏,da3 det5 gi2 yang2
敨唔倒氣,teu3 m1 dau3 hi4
撮唔倒厓,cot5 m1 dau3 ngai2
喊唔動佢,ham4 m1 dung1 gi2
得人惜,det5 ngin2 siak5
得人惱,det5 ngin2 lau1
轉來,zon3 loi2
轉去,zon3 hi4
分厓看下,bin1 ngai2 kon4 ha4
短術術嘅索嫲,don3 sut6 sut6 ge4 sot5 ma2
彎彎嘅牛角,van1 van1 ge4 ngiu2 gok5
一樣長嘅索嫲,yit5 yong4 cong2 ge4 sot5 ma2
凈愛一滴仔,ciang4 oi4 yit5 dit6 zai3
等間佢就來,den3 gan1 gi2 ciu4 loi2
分本書佢,bin1 bun3 su1 gi1
分多滴厓得唔得,bin1 do1 dit6 ngai2 det5 m1 det5
寫過,sia3 go4
焗過一壺,guk6 go4 yit5 fu2
分佢食先,bin1 gi2 sit6 sien1
你先行走,ngi2 sien1 hang2 zeu3
食多碗添,sit6 do1 von3 tiam1
坐多陣添,co1 do1 cin4 tiam1
拿得動,la1 det5 tung1
佢來唔來倒,gi2 loi2 m1 loi2 dau3
有冇去佢屋家,yiu1 mau2 hi4 gia1 vuk5 ka1
去嗨,hi4 hoi1
唔食得酒,m1 sit6 det5 ziu3
坐唔得久,co1 m1 det5 giu3
門背落等水,mun2 boi4 lok6 den3 sui3
坐等來食,co1 den3 loi2 sit6
門開嗨,mun2 hoi1 hoi1
徛等唔好動,gi1 den3 m1 hau3 tung1
將火燒起來正,ziong1 fo3 sau1 hi3 loi2 zang4
厓講過分佢知,ngai2 gong3 go4 bin1 gi2 di1
花開嗨兩朵咯,fa1 hoi1 hoi1 liong3 do3 lo3
食嗨飯正來講,sit6 hoi1 fan4 zang4 loi2 gong3
閂嗨門佢,san1 hoi1 mun2 gi2
扭恒該蓋佢,ngiu3 hen2 ai4 goi4 gi2
將該飯食秋佢,ziong1 ai4 fan4 sit6 ciu1 gi2
唔好打爛吾嘅碗,m1 hau3 da3 lan4 nga2 ge4 von3
來去看電影咯,loi2 hi4 kon4 tien4 yang3 lo3
去看電影去嗨,hi4 kon4 tien4 yang3 hi4 hoi1
厓大過佢,ngai1 tai4 go4 gi2
厓大佢一歲,ngai2 tai4 gi2 yit5 soi4
厓大唔過佢,ngai2 tai4 m1 go4 gi2
兩隻一樣高,liong3 zak5 yit5 yong4 gau1
一世人,yit5 se4 ngin2
一劑藥,yit5 ze4 yok6
一年半載,yit5 ngien2 ban4 zai3
一暴十寒,yit5 puk6 sip6 hon2
一枝花,yit5 gi1 fa1
一條縫,yit5 tiau2 pung4
一蹶不振,yit5 kiet5 but5 zin3
丈八金剛,cong4 bat5 gim1 gong1
丈夫,cong4 fu1
三個,sam1 go4
三思,sam4 su1
上去,song1 hi4
上等,song4 den3
上鍊,song3 lien4
世界,si4 gai4
丞相,sin2 siong4
中心,zung1 sim1
中獎,zung4 ziong3
乘涼,sin2 liong2
乾燥,gon1 cau4
乾隆,kien2 lung2
二世祖,ngi4 si4 zu3
互相,fu4 siong1
交易,gau1 yit6
交錯,gau1 cok5
人參,ngin2 sem1
人影幢幢,ngin2 yang3 cong2 cong2
人質,ngin2 zi4
今朝,gim1 zau1
仔細,zi3 si4
仗義,cong4 ngi4
伴隨,pan4 sui2
伸手,cun1 siu3
住得近,cu4 det5 kiun1
佛教,fut6 gau4
作為,zok5 vui2
例子,li4 zu3
供品,giung4 pin3
依傍,yi1 pong4
便利,pien4 li4
便宜,pien2 li2
個性,go4 sin4
倒垃圾,dau3 lap5 sap5
倭寇,vo1 keu4
倭遲,vui1 ci2
做完,zo4 yen2
做禡,zo4 nga2
傀儡,kui3 lui3
傀奇,gui1 ki2
傍酒,bong3 ziu3
傍飯,bong3 fan4
傳播,con2 bo4
傳記,con4 gi4
傾斜,kin1 sia2
像素,siong4 su4
僕射,puk6 ya4
僮族,cong4 cuk6
先生,sin1 sang1
兩個,liong1 go4
冠軍,gon4 giun1
凋零,diau1 lin2
凝硬,ken2 ngang4
凝聚,ngien2 ci4
凹陷,ngiap5 ham3
出世,cut5 se4
出名,cut5 miang2
分辨,fun1 pien4
判斷,pan4 don4
到齊,dau4 ce2
刺探,ci4 tam4
刺激,ciuk5 git5
刻圖章,kat5 tu2 zong1
刻意,ket5 yi4
剡溪,sam4 kai1
剡章,yam3 zong1
剩餘,sin4 yi2
力量,lit6 liong4
劻勷,kiong1 yong2
勇士,yung3 su4
勉強,mien1 kiong3
動到,tung1 dau4
動物,tung4 vut6
勝利,sin4 li4
半鹹淡,ban4 ham2 tam1
即使,zit5 si3
卵棍,lin3 gun4
原告,ngien2 gau4
厭惡,yam4 vu4
參加,cam1 ga1
反應,fan3 yin4
反省,fan3 sin3
口氣,heu3 hi4
句讀,gi4 teu4
可惜,ko3 sit5
叱吒,cit5 za4
吃吃,ket5 ket5
同儕,tung2 ce2
名貴,min2 gui4
吭聲,hang1 sang1
呢喃,li2 lam2
呱呱叫,va1 va1 giau4
呱呱墜地,gu1 gu1 cui4 ti4
命令,min4 lin4
咀嚼,zu3 ziok5
和尚,vo2 song4
咯咯叫,gok6 gok6 giau4
咽喉,yen1 heu2
品行,pin3 hang2
品質,pin3 zit5
哪吒,la2 za1
唔使客氣,m1 su3 hak5 hi4
唔着,m1 cok6
唱和,cong4 fo4
商賈,song1 gu3
商量,song1 liong2
啤牌,pia1 pai2
啤酒,bia1 ziu3
喁喁私語,yung2 yung2 su1 ngi1
喇叭,la2 ba1
喇嘛,la1 ma2
喪失,song4 sit5
喪禮,song1 li1
嗚咽,vu1 yet5
嘍囉,leu2 lo2
嘍狗,leu4 geu3
嘽嘽,tan1 tan1
嚇一驚,hak5 yit5 giang1
嚼碎,ciau4 sui4
困難,kun4 lan2
在家,coi1 ga1
在意,cai4 yi4
地震,ti4 zin3
埋沒,mai2 mat6
培塿,pui2 leu1
塞滿,set5 man1
塞翁失馬,soi4 vung1 sit5 ma1
墊牌,dien4 pai2
墊頭,tiap6 teu2
壓等,ep5 den3
多少,do1 sau3
大使館,tai4 si4 gon3
大嶼山,tai4 yi2 san1
大石磧死蟹,tai4 sak6 zak5 si3 hai3
大話,tai4 va4
大阪,tai4 ban3
夭閼,yau1 ot5
奔喪,bun1 song1
女人,ngi3 ngin2
好壞,hau3 fai4
如松之盛,yi2 cung2 zu1 sin4
妥當,to3 dong4
委蛇,vui1 yi4
嬭瓜,len4 ga1
存在,sun2 cai4
學校,hok6 gau3
完全,van2 cien2
家屬,ga1 suk6
射箭,sa4 zien4
少年,sau4 ngien2
屈到,vut5 dau4
屈曲,vut5 kiuk5
屋頂,vuk5 dang3
屏山,piang2 san1
屏息,bin3 sit5
屏風,pin2 fung1
屢見不鮮,li1 gien4 but5 sien3
屬意,zuk5 yi4
島嶼,dau3 si4
峽崥,hiap6 bi3
嶺南,liang3 lam2
工程,gung1 cin2
差別,ca1 piet6
幅員廣闊,fuk5 yen2 gong3 fat5
幅婆,pit6 po2
平常,pin2 song2
平貨,piang2 fo4
幽靈,yiu1 lin2
幾乎,gi1 fu2
幾個,gi3 go4
幾多,git5 do1
底下,dai3 ha1
度高,tok6 gau1
廣東省,gong3 dung1 sen3
引吭高歌,yin3 hong2 gau1 go1
強壯,kiong2 zong4
彌撒,li2 sat5
形勢,hin2 si4
從容,cung2 yung2
從此,cung2 cu3
徼倖,hiau1 hen4
徼巡,giau3 sun2
心廣體胖,sim1 gong3 ti3 pan2
心性,sim1 siang4
忠告,zung1 guk5
快樂,kai4 lok6
怕係,fa4 he4
性格,sin4 gak5
惜別,sit5 piet6
惡人,ok5 ngin2
惱火,lau3 fo3
愚戇,ngi2 zong4
感覺,gam3 gok5
應該,yin1 goi1
成功,sin2 gung1
房間,fong2 gan1
手背,siu3 boi4
扢搭,ngiet5 dap5
扶持,fu2 ci2
扶穩,pu2 vun3
批准,pi1 zun3
投降,teu2 hong2
拼辮,pin1 bien1
拿來,la1 loi2
挖掘,vat5 kiut6
挖鼻屎,vet5 pi4 si3
捉蝴蝶,zuk5 fu2 tiap6
捩琵琶,lui4 pi2 pa2
排毒,pai2 tuk6
掣肘,zi4 ziu3
推懶,toi1 lan1
掩映,yam3 yong3
提倡,ti2 cong4
揲法,siet6 fap5
揲貫萬物,tiap6 gon4 man4 vut6
摟抱,leu3 pau1
摟錢,leu1 cien2
摽搒,biau1 bong3
撐腰,cang1 yau1
撒石灰,sot5 sak6 foi1
撣族,sien4 cuk6
收聽,siu1 tang4
放恣,fong4 zu3
放縱,fong4 zung4
教徒,gau4 tu2
教書,gau1 su1
散播,san4 bo4
敬業樂業,gin4 ngiap6 ngau4 ngiap6
斜布,cia2 bu4
新鮮,sin1 sien1
斷章取義,ton4 zong1 ci3 ngi4
日暈,ngit5 yun4
旺盛,vong4 sang4
昝晚日,cam4 min1 ngit5
星球,sin1 kiu2
映照,yang3 zau4
晦暝,fui4 men2
暈厥,fun2 kiet5
暴力,pau4 lit6
曉飛,hiau3 bui1
更加,gen4 ga1
更換,gang1 von4
書僮,su1 tung2
會面,fui4 mien4
朝廷,cau2 tin2
木柱,muk5 cu1
未曾,vui4 cen2
東莞,dung1 gon3
架勢,ga4 se4
柿餅,se2 biang3
校對,gau4 dui4
核准,het6 zun3
根本,gen1 bun3
桑椹,song1 sim4
棉被,mien2 pi1
極極震,git6 git6 zun1
楷書,gai1 su1
樓上,leu2 song4
標準,piau1 zun3
檻羊,kam3 yong2
正式,zin4 sit5
正月,zang1 ngiet6
死撐,si3 cang4
死背硬記,si3 poi4 ngang4 gi4
毒藥,tuk6 yok6
毫子,hau2 zu3
汀九,dang1 giu3
汀洲,tin1 ziu1
汽車,ki4 ca1
沒收,mut6 siu1
沒水,mi4 sui3
沙丘,sa1 kiu1
沮喪,zu3 song4
沮誦,zu1 sung4
河瀝,ho2 lak5
泓噌,fen2 zen1
泡沫,pau1 mat6
泡菜,pau4 coi4
波子,bo1 zu3
洗腎,se3 sin4
活塞,fat6 set5
浮沈,feu2 cim2
海幢寺,hoi3 tung2 su4
淜滂,pin2 pong2
淡水,tam4 sui3
淡水湖,tam1 sui3 fu2
淡泊,tam4 pok6
淵藪,yen1 seu3
測度,cet5 tok6
湊伴,ceu4 pan1
湫底,ciu1 dai3
湫水河,ziu1 sui3 ho2
溫度,vun1 tu4
滄溟,cong1 men2
漂泊,piau1 pok6
漂白,piau4 pak6
潦草,liau3 cau3
澠池,mien3 ci2
濁鼻,kuk6 pi4
瀝源,lak5 ngien2
為己為人,vui4 gi3 vui4 ngin2
無稽,vu2 ki1
燈泡,den1 pau1
燕京,yen1 gin1
燕窩,yen4 vo1
營養,yin2 yong1
爭拗,zang1 au4
片糖,pien3 tong2
片面,pien4 mien4
特務,tit6 vu4
犍牛,gien1 ngiu2
犯法,fam1 fap5
犯犯,fam4 fam4
狗仔,geu3 zai3
狼藉,long2 cit6
玩耍,van2 sa3
玫瑰,moi2 gui4
瑰奇,gui1 ki2
甌窶,iu1 leu2
用剩,yung4 yin4
田野,tien2 ya3
畜生,kiuk5 sang1
畜養,hiuk5 yong1
番禺,pan1 ngi2
畫家,fa4 ga1
畫眉,fa4 mi2
當家,dong1 ga1
疏漏,so1 leu4
癩痢,lat5 li4
癩瘡,lai4 cong1
白薟,pak6 liam2
百褶裙,bak5 zap5 kiun2
的士,dit6 si3
皇冠,fong2 gon1
盛一桶水,sin2 yit5 tung3 sui3
監督,gam1 duk5
目前,muk5 cien2
目錄,muk6 luk6
相撲,siong1 pok5
着手,cok6 siu3
睡眠,soi4 mien2
睡覺,soi4 gau4
瞭望,liau2 mong4
知己,zi1 gi3
知識,zi4 sit5
石磧州,sak6 zit5 ziu1
砒霜,pi1 song1
磨刀,mo2 dau1
磨豆腐,mo4 teu4 fu4
神祇,sin2 ki2
禁區,gim4 ki1
禪宗,sam2 zung1
禪讓,sien4 ngiong4
稔灣,lim3 van1
稔熟,lem3 suk6
種植,zung4 cit6
種類,zung3 lui4
稽首,ki3 siu3
空出來,fung1 cut5 loi2
空氣,kung1 hi4
笑咪咪,siau4 mi3 mi3
符合,fu2 hap6
算命,son4 miang4
箠杖,cui2 cong4
簿記,pu4 gi4
米成,mi3 cang2
粉嶺,fun3 liang1
精湛,zin1 zam3
紡紗,fong3 sa1
紡織娘,piong3 zit5 ngiong2
細菌,si4 kiun3
經濟,gin1 zi4
綢繆,ciu2 miu2
縫紉,fung2 ngiun4
縱橫,zung1 vang2
繫鞋帶,gai1 hai2 dai4
羅經,lo2 gang1
老人,lau3 ngin2
聯繫,lien2 hi4
聲調,sang1 tiau4
聽到,tang4 dau4
肥婆,pui2 po2
肥料,fui2 liau4
肥豬,pui2 zu1
胍肫,gu1 zun1
脊椎,zit5 zui1
腥風血雨,sen1 fung1 hiet5 yi3
腳瓤肚,giok5 lang2 du3
膴仕,vu3 su4
自由行,cu4 yiu2 hang2
舖位,pu4 vui4
舖路,pu1 lu4
芒萁,mong2 gi1
芭蕾,ba1 lui2
花蕾,fa1 lui3
苦瓜,fu3 ga1
草根,cau3 gin1
荒繆,fong1 miu4
莎草,so1 cau3
莞爾,van3 li3
菑川,zu1 con1
華山,fa4 san1
蓼花,liau3 fa1
蓼蓼者莪,luk6 luk6 za3 ngo2
蕉徑,ziau1 gang4
藥散,yok6 san3
蘋果核,pin2 go3 fut6
處方,cu3 fong1
蚍衃,pi2 feu2
蝦米,ha1 mi3
螵蛸,piau1 siau1
螺絲批,lo2 su1 pai1
蟠桃,pan2 tau2
衣着,yi1 zok5
衣衫襤褸,yi1 sam1 lam2 leu3
補貼,bu3 tiap5
裨益,bi1 yit5
褲襠,fu4 dong1
褶衣,sip6 yi1
西片,si1 pien3
要求,yau1 kiu2
觀察,gon1 cat5
解款,gai4 kan3
解釋,gai3 sit5
註疏,zu4 so4
試水,ci4 sui3
詩經,si1 gin1
話梅,fa4 moi2
說服,soi4 fuk6
調換,tiau4 von4
調節,tiau2 ziet5
諗思,sim3 su1
讀書,tuk6 su1
豁閜,hot5 ha4
豆萁,teu4 ki2
豨薟,hi1 ciam1
貓狗,miau4 geu3
負擔,fu4 dam1
貧窶,pin2 ki3
買斷,mai1 ton1
貼對聯,diap5 dui4 lien2
賁臨,bi4 lim2
賁門,bun1 mun2
贛江,gam4 gong1
赤柱,cak5 cu4
跛腳,bai1 giok5
跳來跳去,tiau2 loi2 tiau2 hi4
跳繩,tiau4 sin2
踉蹌,long2 cong1
蹢躅,zak5 cuk5
車馬炮,gi1 ma1 pau4
載客,zoi4 hak5
轉彎,zon4 van1
轉軸,zon4 cuk6
轉運,zon3 yun4
辛苦,sin1 ku3
近來,kiun4 loi2
迭逿,diet5 tong2
途徑,tu2 gin4
遇上,ngi4 song1
遊玩,yiu2 van4
道路,tau4 lu4
還有,han2 yiu1
還錢,van2 cien2
還魂,fan2 fun2
邯鄲,hon2 dan1
郵差,yiu2 cai1
重視,cung4 si4
野心,ya3 sim1
野雞,ya1 gai1
量米,liong2 mi3
金枝玉葉,gim1 zi1 ngiuk6 yap6
銀行,ngiun2 hong2
鋪位,pu4 vui4
鋪路,pu1 lu4
錞于,sun2 yi1
錯誤,co4 ngu4
鑽石,zon4 sak6
閂門閉戶,con1 mun2 bi4 fu1
閂門閉户,con1 mun2 bi4 fu1
開始,koi1 ci3
開門,hoi1 mun2
間房,gan4 fong2
閜砢,ko3 lo3
閼氏,yen1 si4
闍梨,sa1 li2
阪田,fan3 tien2
阿諛奉承,o1 yi2 fung4 sin2
降落,gong4 lok6
陜西,sam3 si1
陶醉,tau2 zui4
陶陶,yau2 yau2
雕像,diau1 siong4
難民,lan4 min2
雪茄,siet5 ga1
零星,lang2 sang1
電鑽,tien4 zon4
需要,si1 yau4
露營,lu4 yang2
靈活,lin2 fat6
青海,ciang1 hoi3
靚衣,ciang4 yi1
音樂,yim1 ngok6
頂級,din3 kip5
頭暈,teu2 vin2
飛起來,bui1 hi3 loi2
食品,sit6 pin3
飼料,su4 liau4
餅餤,biang3 tam4
首崵山,siu3 yong2 san1
駔儈,zu3 kai4
驚喜,gin1 hi3
高興,gau1 hin4
魋結,cui2 giet5
魚腥,ng2 siang1
魚鱗,ng2 lin1
鮮有,sien3 yiu1
鳥巢,ngiau3 cau2
鳥籠,diau1 lung1
鳱鵲,gon1 siak5
鴨腎,ap5 kin1
鴻鵠,fung2 fuk5
鶬鶊,cong1 gang1
鶴藪,hok6 deu4
黃蚻,vong2 cat6
點滴,diam3 tit6
龍蝦,lung2 ha1
因為,yin1 vui4
已經,yi3 gin1
中國,zung1 get5
之後,zu1 heu4
時間,si2 gan4
好似,hau3 su4
最後,zui4 heu4
