char,canton,waitau,searchkey,hakka1,hakka2,Notes
冽,lit6,lik6,冽lit6,liet6,,
凄,cäi1,cäi1,凄cäi1,ci1,,
凅,gwu3,gwu1,凅gwu3,gu4,,
准,zön2,zäng2,准zön2,zun3,,
凈,zing6,zäng6,凈zing6,ciang4,,
凊,cing3,cäng1,凊cing3,cin4,,
凋,diu1,diu1,凋diu1,diau1,,
凌,ling4,läng4,凌ling4,lin2,,
凍,dung3,dung1,凍dung3,dung4,,
凗,cöi4,cöi4,凗cöi4,cui2,,
凘,si1,si1,凘si1,su1,,
凜,läm5,läm1,凜läm5,lim3,,
凝,king4,käng4,凝king4,ken2,,~硬
凝,ying4,yäng4,凝ying4,ngien2,,~聚
几,gei1,gi1,几gei1,gi1,,
凡,fan4,fæng4,凡fan4,fam2,,
凰,wong4,wong4,凰wong4,fong2,,
凱,hoi2,fui2,凱hoi2,koi3,,
凳,däng3,däng1,凳däng3,den4,,
凵,häm2,häm2,凵häm2,kam3,,
凶,hung1,hung1,凶hung1,hiung1,,
凸,dät6,däk6,凸dät6,tut6,,
凹,au3,au1,凹au3,au4,,(=坳)
凹,näp1,näp2,凹näp1,ngiap5,,~陷
出,cöt1,cäk2,出cöt1,cut5,,
函,ham4,ham4,函ham4,ham2,,
刀,dou1,däu1,刀dou1,dau1,,
刁,diu1,diu1,刁diu1,diau1,,
刃,yän6,yäng6,刃yän6,ngiun3,,
分,fän1,fäng1,分fän1,fun1,,~辨
分,fän6,fäng6,分fän6,fun4,,三~之一
切,cit3,cik2,切cit3,ciet6,,
刈,ngai6,ngai6,刈ngai6,ngai4,,
刊,hon1,fung1,刊hon1,kan1,,
刌,cün3,cüng1,刌cün3,cun4,,
刎,män5,mäng1,刎män5,vut5,,
刐,tan2,tæng2,刐tan2,tan3,,
刑,ying4,yäng4,刑ying4,hin2,,
划,wa4,wa4,划wa4,fa2,,
刓,yün4,yüng4,刓yün4,ngan2,,
刖,yüt6,ngük6,刖yüt6,ngiet6,,
列,lit6,lik6,列lit6,liet6,,
刜,fät1,fäk2,刜fät1,fut5,,
初,co1,co1,初co1,co1,,
删,san1,sæng1,删san1,san1,,
刡,män5,mäng1,刡män5,men3,,
判,pun3,pung1,判pun3,pan4,,
別,bit6,bik6,別bit6,piet6,,
刨,pau4,pau4,刨pau4,pau2,,
利,lei6,li6,利lei6,li4,,
刮,gwat3,gwæk2,刮gwat3,gat5,,
到,dou3,däu1,到dou3,dau4,,
到,dou2,däu1,到dou2,dau4,,
刱,cong3,cong1,刱cong3,cong3,,
刲,gwäi1,gwäi1,刲gwäi1,kui2,,
刳,fu1,fu1,刳fu1,ku1,,
刵,yi5,yi1,刵yi5,ngi3,,
制,zäi3,zäi1,制zäi3,zi4,,
